crime_id,timestamp,date,time,year,month,day_of_week,hour,crime_type,ipc_bns_section,severity_score,district,police_station,location_name,location_type,latitude,longitude,weapon_used,investigation_status
DL-2015-018097,2015-01-07 21:59:29,2015-01-07,21:59,2015,1,Wednesday,21,Robbery,IPC Sec 392 / 397,4,East,Ghazipur,Ghazipur Mandi / Delhi-UP Border,Interstate Border / Wholesale Mandi,28.622676,77.334432,No,Under Investigation
DL-2015-002476,2015-01-07 22:46:27,2015-01-07,22:46,2015,1,Wednesday,22,Snatching,IPC Sec 356 / 379,3,East,Ghazipur,Ghazipur Mandi / Delhi-UP Border,Interstate Border / Wholesale Mandi,28.629182,77.321874,No,Untraced
DL-2015-026908,2015-01-08 01:06:48,2015-01-08,01:06,2015,1,Thursday,1,Pickpocketing / Theft,IPC Sec 379,1,Central,Karol Bagh,Gaffar Market / Ajmal Khan Road,Commercial Market,28.65292,77.1873,No,Chargesheet Filed
DL-2015-005114,2015-01-08 14:37:12,2015-01-08,14:37,2015,1,Thursday,14,Snatching,IPC Sec 356 / 379,3,Rohini,Prashant Vihar,Sector 14 / Outer Ring Road Hub,Residential & Highway Arterial,28.715265,77.108754,No,Chargesheet Filed
DL-2015-019336,2015-01-08 21:40:28,2015-01-08,21:40,2015,1,Thursday,21,Robbery,IPC Sec 392 / 397,5,Shahdara,Anand Vihar,Anand Vihar ISBT & Railway Terminal,Transit Terminal / Border,28.658355,77.31078,Yes,Under Investigation
DL-2015-018438,2015-01-09 01:11:37,2015-01-09,01:11,2015,1,Friday,1,NDPS / Drug Offence,NDPS Act Sec 20 / 22,4,South,Hauz Khas,Hauz Khas Village / Aurobindo Marg,Nightlife & Commercial Hub,28.55885,77.189319,No,Under Investigation
DL-2015-019653,2015-01-09 03:23:58,2015-01-09,03:23,2015,1,Friday,3,Burglary,IPC Sec 380 / 457,3,Outer North,Narela,Narela Industrial Area / DSIDC Complex,Industrial & Border Outpost,28.856998,77.09513,No,Under Investigation
DL-2015-014091,2015-01-09 13:46:46,2015-01-09,13:46,2015,1,Friday,13,Pickpocketing / Theft,IPC Sec 379,1,South East,Lajpat Nagar,Central Market Lajpat Nagar II,Shopping District,28.572272,77.242834,No,Chargesheet Filed
DL-2015-024973,2015-01-09 16:59:44,2015-01-09,16:59,2015,1,Friday,16,Snatching,IPC Sec 356 / 379,3,Outer North,Outer North Sector PS,"General Sector Road, Outer North",Residential Colony,28.833659,77.127764,No,Convicted
DL-2015-026987,2015-01-09 17:30:39,2015-01-09,17:30,2015,1,Friday,17,Assault / Hurt,IPC Sec 323 / 325,3,Outer,Outer Sector PS,"General Sector Road, Outer",Roadside / Highway,28.71373,76.931646,No,Under Investigation
DL-2015-018429,2015-01-09 20:40:30,2015-01-09,20:40,2015,1,Friday,20,Motor Vehicle Theft,IPC Sec 379,2,South East,South East Sector PS,"General Sector Road, South East",Residential Colony,28.748935,77.132793,No,Under Investigation
DL-2015-034601,2015-01-09 22:39:25,2015-01-09,22:39,2015,1,Friday,22,Robbery,IPC Sec 392 / 397,5,Outer,Mangolpuri,Mangolpuri Industrial Area / S-Block,Dense Resettlement Colony,28.695841,77.074285,Yes,Under Investigation
DL-2015-033616,2015-01-09 23:35:08,2015-01-09,23:35,2015,1,Friday,23,Assault / Brawl,IPC Sec 160 / 323,2,West,Rajouri Garden,Main Market & Metro Interchange,Commercial & Nightclub Hub,28.655305,77.111493,No,Under Investigation
DL-2015-029762,2015-01-10 00:00:45,2015-01-10,00:00,2015,1,Saturday,0,Motor Vehicle Theft,IPC Sec 379,2,Outer North,Bawana,Bawana Industrial Area Sector 1-5,Industrial Complex,28.801278,77.037468,No,Under Investigation
DL-2015-027739,2015-01-10 04:12:47,2015-01-10,04:12,2015,1,Saturday,4,Motor Vehicle Theft,IPC Sec 379,2,South East,Lajpat Nagar,Central Market Lajpat Nagar II,Shopping District,28.572666,77.238564,No,Chargesheet Filed
DL-2015-014873,2015-01-10 04:28:48,2015-01-10,04:28,2015,1,Saturday,4,Motor Vehicle Theft,IPC Sec 379,2,South West,Sarojini Nagar,Sarojini Nagar Export Market,Bustling Flea Market,28.576747,77.195392,No,Under Investigation
DL-2015-020037,2015-01-10 07:32:38,2015-01-10,07:32,2015,1,Saturday,7,Motor Vehicle Theft,IPC Sec 379,2,East,East Sector PS,"General Sector Road, East",Public Park / Open Ground,28.710233,77.092063,No,Chargesheet Filed
DL-2015-013335,2015-01-10 11:37:08,2015-01-10,11:37,2015,1,Saturday,11,Cyber Crime,IT Act Sec 66D / IPC 420,2,West,Janakpuri,Janakpuri District Centre,Commercial Complex,28.62026,77.080664,No,Chargesheet Filed
DL-2015-002322,2015-01-10 13:02:25,2015-01-10,13:02,2015,1,Saturday,13,Pickpocketing / Theft,IPC Sec 379,1,New Delhi,Connaught Place,Inner / Outer Circle & Rajiv Chowk,Commercial & Transit Center,28.62391,77.223709,No,Under Investigation
DL-2015-007756,2015-01-10 19:04:50,2015-01-10,19:04,2015,1,Saturday,19,Motor Vehicle Theft,IPC Sec 379,2,Dwarka,Dwarka Sector 23,Dwarka Expressway / Sector 21 Terminal,Transit Expressway & Isolated Stretch,28.546092,77.05694,No,Under Investigation
DL-2015-001014,2015-01-10 20:40:15,2015-01-10,20:40,2015,1,Saturday,20,Burglary,IPC Sec 380 / 457,3,Outer North,Bawana,Bawana Industrial Area Sector 1-5,Industrial Complex,28.806302,77.038148,No,Under Investigation
DL-2015-000981,2015-01-10 21:13:28,2015-01-10,21:13,2015,1,Saturday,21,Robbery,IPC Sec 392 / 397,5,Outer,Mangolpuri,Mangolpuri Industrial Area / S-Block,Dense Resettlement Colony,28.685778,77.078525,Yes,Under Investigation
DL-2015-005065,2015-01-11 01:15:51,2015-01-11,01:15,2015,1,Sunday,1,Motor Vehicle Theft,IPC Sec 379,2,Rohini,Prashant Vihar,Sector 14 / Outer Ring Road Hub,Residential & Highway Arterial,28.712604,77.114107,No,Convicted
DL-2015-004695,2015-01-11 02:08:05,2015-01-11,02:08,2015,1,Sunday,2,Motor Vehicle Theft,IPC Sec 379,2,New Delhi,Connaught Place,Inner / Outer Circle & Rajiv Chowk,Commercial & Transit Center,28.631019,77.22566,No,Under Investigation
DL-2015-015546,2015-01-11 04:07:17,2015-01-11,04:07,2015,1,Sunday,4,Motor Vehicle Theft,IPC Sec 379,2,North,Kotwali,Chandni Chowk / Old Delhi Railway Station,Crowded Wholesale Market,28.654238,77.227013,No,Under Investigation
DL-2015-020781,2015-01-11 06:03:24,2015-01-11,06:03,2015,1,Sunday,6,Snatching,IPC Sec 356 / 379,3,South,Saket,Select Citywalk & Press Enclave,Mall & Commercial Strip,28.523819,77.218974,No,Under Investigation
DL-2015-012497,2015-01-11 11:41:31,2015-01-11,11:41,2015,1,Sunday,11,Eve Teasing / Harassment,IPC Sec 354 / 509,3,New Delhi,Connaught Place,Inner / Outer Circle & Rajiv Chowk,Commercial & Transit Center,28.628726,77.219466,No,Under Investigation
DL-2015-022060,2015-01-11 15:58:38,2015-01-11,15:58,2015,1,Sunday,15,Pickpocketing / Theft,IPC Sec 379,1,East,Ghazipur,Ghazipur Mandi / Delhi-UP Border,Interstate Border / Wholesale Mandi,28.633035,77.332002,No,Chargesheet Filed
DL-2015-028560,2015-01-11 16:23:39,2015-01-11,16:23,2015,1,Sunday,16,Snatching,IPC Sec 356 / 379,3,South West,Sarojini Nagar,Sarojini Nagar Export Market,Bustling Flea Market,28.57206,77.195805,No,Untraced
DL-2015-013272,2015-01-11 16:41:54,2015-01-11,16:41,2015,1,Sunday,16,Motor Vehicle Theft,IPC Sec 379,2,Central,Paharganj,New Delhi Railway Station / Paharganj Bazaar,Transit Hub / Commercial,28.650168,77.201577,No,Untraced
DL-2015-012645,2015-01-11 16:59:56,2015-01-11,16:59,2015,1,Sunday,16,Motor Vehicle Theft,IPC Sec 379,2,South West,Sarojini Nagar,Sarojini Nagar Export Market,Bustling Flea Market,28.575271,77.20108,No,Chargesheet Filed
DL-2015-015896,2015-01-11 18:38:43,2015-01-11,18:38,2015,1,Sunday,18,Snatching,IPC Sec 356 / 379,3,Central,Karol Bagh,Gaffar Market / Ajmal Khan Road,Commercial Market,28.642817,77.200535,Yes,Chargesheet Filed
DL-2015-031562,2015-01-12 01:24:28,2015-01-12,01:24,2015,1,Monday,1,Burglary,IPC Sec 380 / 457,3,Dwarka,Dwarka Sector PS,"General Sector Road, Dwarka",Residential Colony,28.682178,77.015211,No,Untraced
DL-2015-010632,2015-01-12 13:55:36,2015-01-12,13:55,2015,1,Monday,13,Robbery,IPC Sec 392 / 397,5,South East,Okhla Industrial Area,Okhla Phase II & Railway Siding,Industrial Area,28.52729,77.272749,Yes,Chargesheet Filed
DL-2015-010120,2015-01-12 14:08:40,2015-01-12,14:08,2015,1,Monday,14,Pickpocketing / Theft,IPC Sec 379,1,New Delhi,New Delhi Sector PS,"General Sector Road, New Delhi",Residential Colony,28.594135,77.179071,No,Chargesheet Filed
DL-2015-024183,2015-01-12 16:31:58,2015-01-12,16:31,2015,1,Monday,16,Snatching,IPC Sec 356 / 379,3,Shahdara,Anand Vihar,Anand Vihar ISBT & Railway Terminal,Transit Terminal / Border,28.648696,77.323125,No,Chargesheet Filed
DL-2015-000235,2015-01-12 17:58:26,2015-01-12,17:58,2015,1,Monday,17,Snatching,IPC Sec 356 / 379,3,South West,Sarojini Nagar,Sarojini Nagar Export Market,Bustling Flea Market,28.57332,77.201651,No,Untraced
DL-2015-029033,2015-01-12 23:51:43,2015-01-12,23:51,2015,1,Monday,23,Pickpocketing / Theft,IPC Sec 379,1,North,Kashmere Gate,ISBT Kashmere Gate & Metro Junction,Interstate Transit Hub,28.664597,77.229188,No,Under Investigation
DL-2015-000362,2015-01-13 02:02:52,2015-01-13,02:02,2015,1,Tuesday,2,Motor Vehicle Theft,IPC Sec 379,2,North,Kotwali,Chandni Chowk / Old Delhi Railway Station,Crowded Wholesale Market,28.656119,77.224368,No,Convicted
DL-2015-019625,2015-01-13 10:38:56,2015-01-13,10:38,2015,1,Tuesday,10,Pickpocketing / Theft,IPC Sec 379,1,South,Saket,Select Citywalk & Press Enclave,Mall & Commercial Strip,28.519009,77.218977,No,Untraced
DL-2015-024533,2015-01-13 14:45:45,2015-01-13,14:45,2015,1,Tuesday,14,Motor Vehicle Theft,IPC Sec 379,2,South,Hauz Khas,Hauz Khas Village / Aurobindo Marg,Nightlife & Commercial Hub,28.547613,77.188308,No,Under Investigation
DL-2015-031449,2015-01-13 18:22:12,2015-01-13,18:22,2015,1,Tuesday,18,Motor Vehicle Theft,IPC Sec 379,2,North,Kashmere Gate,ISBT Kashmere Gate & Metro Junction,Interstate Transit Hub,28.657899,77.221979,No,Under Investigation
DL-2015-022392,2015-01-13 18:44:04,2015-01-13,18:44,2015,1,Tuesday,18,Robbery,IPC Sec 392 / 397,5,Outer North,Bawana,Bawana Industrial Area Sector 1-5,Industrial Complex,28.791502,77.03183,Yes,Chargesheet Filed
DL-2015-032367,2015-01-13 21:13:31,2015-01-13,21:13,2015,1,Tuesday,21,Motor Vehicle Theft,IPC Sec 379,2,Central,Paharganj,New Delhi Railway Station / Paharganj Bazaar,Transit Hub / Commercial,28.642575,77.22228,No,Under Investigation
DL-2015-012391,2015-01-13 22:52:56,2015-01-13,22:52,2015,1,Tuesday,22,Robbery,IPC Sec 392 / 397,5,Outer,Mangolpuri,Mangolpuri Industrial Area / S-Block,Dense Resettlement Colony,28.696578,77.075917,Yes,Chargesheet Filed
DL-2015-032042,2015-01-13 23:23:00,2015-01-13,23:23,2015,1,Tuesday,23,Robbery,IPC Sec 392 / 397,4,Outer North,Narela,Narela Industrial Area / DSIDC Complex,Industrial & Border Outpost,28.853711,77.098031,No,Chargesheet Filed
DL-2015-020880,2015-01-14 07:31:12,2015-01-14,07:31,2015,1,Wednesday,7,Motor Vehicle Theft,IPC Sec 379,2,West,West Sector PS,"General Sector Road, West",Residential Colony,28.588258,77.225025,No,Chargesheet Filed
DL-2015-024901,2015-01-14 15:09:15,2015-01-14,15:09,2015,1,Wednesday,15,Robbery,IPC Sec 392 / 397,5,Outer North,Outer North Sector PS,"General Sector Road, Outer North",Residential Colony,28.790652,77.287553,Yes,Under Investigation
DL-2015-013130,2015-01-14 20:07:28,2015-01-14,20:07,2015,1,Wednesday,20,Assault / Hurt,IPC Sec 323 / 325,4,South East,Okhla Industrial Area,Okhla Phase II & Railway Siding,Industrial Area,28.531555,77.271764,Yes,Chargesheet Filed
DL-2015-003630,2015-01-14 21:26:06,2015-01-14,21:26,2015,1,Wednesday,21,Snatching,IPC Sec 356 / 379,3,Shahdara,Anand Vihar,Anand Vihar ISBT & Railway Terminal,Transit Terminal / Border,28.642082,77.322665,No,Under Investigation
DL-2015-032586,2015-01-14 22:32:00,2015-01-14,22:32,2015,1,Wednesday,22,Assault / Hurt,IPC Sec 323 / 325,4,South East,Okhla Industrial Area,Okhla Phase II & Railway Siding,Industrial Area,28.53534,77.281059,Yes,Untraced
DL-2015-005129,2015-01-14 23:01:59,2015-01-14,23:01,2015,1,Wednesday,23,Robbery,IPC Sec 392 / 397,5,South East,Okhla Industrial Area,Okhla Phase II & Railway Siding,Industrial Area,28.528663,77.275448,Yes,Untraced
DL-2015-001070,2015-01-14 23:06:38,2015-01-14,23:06,2015,1,Wednesday,23,Assault / Hurt,IPC Sec 323 / 325,4,North East,Seelampur,Seelampur Market & Flyover Underpass,Dense Residential & Market,28.676828,77.285772,Yes,Untraced
DL-2015-030947,2015-01-15 00:04:07,2015-01-15,00:04,2015,1,Thursday,0,Motor Vehicle Theft,IPC Sec 379,2,Dwarka,Dwarka Sector 23,Dwarka Expressway / Sector 21 Terminal,Transit Expressway & Isolated Stretch,28.555316,77.063827,No,Chargesheet Filed
DL-2015-014630,2015-01-15 00:20:45,2015-01-15,00:20,2015,1,Thursday,0,Robbery,IPC Sec 392 / 397,4,West,West Sector PS,"General Sector Road, West",Residential Colony,28.550409,77.063459,No,Chargesheet Filed
DL-2015-012575,2015-01-15 02:08:18,2015-01-15,02:08,2015,1,Thursday,2,Motor Vehicle Theft,IPC Sec 379,2,West,Rajouri Garden,Main Market & Metro Interchange,Commercial & Nightclub Hub,28.646125,77.117194,No,Under Investigation
DL-2015-027612,2015-01-15 04:50:30,2015-01-15,04:50,2015,1,Thursday,4,Motor Vehicle Theft,IPC Sec 379,2,New Delhi,New Delhi Sector PS,"General Sector Road, New Delhi",Public Park / Open Ground,28.632176,77.188806,No,Untraced
DL-2015-022628,2015-01-15 11:18:38,2015-01-15,11:18,2015,1,Thursday,11,Motor Vehicle Theft,IPC Sec 379,2,South West,Sarojini Nagar,Sarojini Nagar Export Market,Bustling Flea Market,28.577461,77.202788,No,Under Investigation
