record_id,district,police_station,landmark_premise,premises_type,crime_category,statutory_ipc,date,hour,minute,day_of_week,is_weekend,is_night,is_rush_hour,latitude,longitude,severity_score,risk_index,risk_level,is_high_risk,confirmation_status
DEL-FIR-2025-100040,Dwarka,Dwarka Sector 23,Dwarka Sector 21 Metro Interchange,Transit & Metro Hub,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-07-31,5,56,Thursday,0,1,0,28.553704,77.056041,2,0.643,Medium,0,Confirmed
DEL-FIR-2025-100041,South-West,Vasant Vihar,Dhaula Kuan Underpass Intersection,Street & Public Roadways,Motor Vehicle Theft,IPC 379 (BNS 303),2025-01-20,3,24,Monday,0,1,0,28.589696,77.162174,3,0.675,High,1,Pending Investigation
DEL-FIR-2025-100042,Outer,Nangloi,Paschim Vihar Jwala Heri Market,Commercial & Retail Market,Motor Vehicle Theft,IPC 379 (BNS 303),2025-01-13,7,14,Monday,0,0,0,28.670226,77.106414,3,0.507,Medium,0,Confirmed
DEL-FIR-2025-100043,South-East,Kalkaji,Nehru Place IT & Electronics Complex,Commercial & Retail Market,Motor Vehicle Theft,IPC 379 (BNS 303),2025-10-02,3,53,Thursday,0,1,0,,,3,0.656,High,1,Confirmed
DEL-FIR-2025-100044,Outer-North,Bawana,Samaypur Badli Metro & Railway Hub,Transit & Metro Hub,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-11-02,1,6,Sunday,1,1,0,28.744017,77.142884,4,0.787,High,1,Confirmed
DEL-FIR-2025-100045,South-West,Mahipalpur,Dhaula Kuan Underpass Intersection,Street & Public Roadways,Assault & Public Brawl,IPC 323/341 (BNS 115/126),2025-01-23,22,16,Thursday,0,1,0,,,3,0.549,Medium,0,Confirmed
DEL-FIR-2025-100046,Outer-North,Bawana,Shahbad Dairy Area,Residential Gated Colony,Motor Vehicle Theft,IPC 379 (BNS 303),2025-06-19,3,58,Thursday,0,1,0,28.757627,77.109538,3,0.576,Medium,0,Confirmed
DEL-FIR-2025-100047,Central,Rajinder Nagar,Daryaganj Sunday Book Market Area,Street & Public Roadways,Motor Vehicle Theft,IPC 379 (BNS 303),2025-06-01,1,44,Sunday,1,1,0,28.651327,77.236908,3,0.674,High,1,Confirmed
DEL-FIR-2025-100048,East,Preet Vihar,Akshardham Metro Station Corridor,Transit & Metro Hub,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-01-01,13,53,Wednesday,0,0,0,28.618606,77.280824,4,0.521,Medium,0,Confirmed
DEL-FIR-2025-100049,North-East,Jafrabad,Jafrabad Main Road,Street & Public Roadways,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-04-20,4,43,Sunday,1,1,0,28.679689,77.269913,4,0.76,High,1,Confirmed
DEL-FIR-2025-100050,North-East,Seelampur,Bhajanpura Wazirabad Road Intersection,Street & Public Roadways,Motor Vehicle Theft,IPC 379 (BNS 303),2025-02-17,19,21,Monday,0,0,1,28.701468,77.263647,3,0.381,Low,0,Pending Investigation
DEL-FIR-2025-100051,East,Preet Vihar,Mayur Vihar Phase 1 Pocket 1,Residential Gated Colony,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-09-01,20,15,Monday,0,0,1,28.609084,77.296368,4,0.459,Medium,0,Confirmed
DEL-FIR-2025-100052,North-West,Bharat Nagar,Ashok Vihar Deep Market,Commercial & Retail Market,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-05-05,15,25,Monday,0,0,0,28.693805,77.176474,3,0.443,Medium,0,Confirmed
DEL-FIR-2025-100053,Outer-North,Alipur,Bawana Industrial Estate Sector 3,Industrial & Warehouse Estates,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-08-26,22,33,Tuesday,0,1,0,28.799081,77.040395,3,0.674,High,1,Confirmed
DEL-FIR-2025-100054,Outer,Paschim Vihar,Mangolpuri Industrial Area Phase 1,Industrial & Warehouse Estates,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-11-01,21,35,Saturday,1,0,0,28.693028,77.084564,3,0.581,Medium,0,Confirmed
DEL-FIR-2025-100055,North-West,Bharat Nagar,Wazirpur Industrial Area,Industrial & Warehouse Estates,Motor Vehicle Theft,IPC 379 (BNS 303),2025-03-23,14,57,Sunday,1,0,0,28.698826,77.169644,3,0.627,Medium,0,Confirmed
DEL-FIR-2025-100056,South-East,Kalkaji,Lajpat Nagar Central Market,Commercial & Retail Market,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-05-21,1,15,Wednesday,0,1,0,28.567209,77.241793,4,0.688,High,1,Confirmed
DEL-FIR-2025-100057,South,Malviya Nagar,Malviya Nagar Shivalik Colony,Residential Gated Colony,Motor Vehicle Theft,IPC 379 (BNS 303),2025-04-29,23,9,Tuesday,0,1,0,28.532737,77.208692,3,0.582,Medium,0,Confirmed
DEL-FIR-2025-100058,South,Mehrauli,Hauz Khas Village Social Hub,Commercial & Retail Market,Motor Vehicle Theft,IPC 379 (BNS 303),2025-04-16,1,3,Wednesday,0,1,0,28.554096,77.196282,3,0.653,High,1,Pending Investigation
DEL-FIR-2025-100059,North-East,Seelampur,Jafrabad Main Road,Street & Public Roadways,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-01-04,12,30,Saturday,1,0,0,28.684544,77.268537,2,0.571,Medium,0,Unconfirmed / Unverified Tip
DEL-FIR-2025-100060,West,Patel Nagar,Tilak Nagar Metro Station,Transit & Metro Hub,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-04-23,0,57,Wednesday,0,1,0,28.637848,77.094654,4,0.679,High,1,Confirmed
DEL-FIR-2025-100061,North-West,Ashok Vihar,Netaji Subhash Place Commercial Hub,Commercial & Retail Market,Motor Vehicle Theft,IPC 379 (BNS 303),2025-03-26,12,46,Wednesday,0,0,0,28.693539,77.151519,3,0.538,Medium,0,Pending Investigation
DEL-FIR-2025-100062,Dwarka,Dwarka Sector 10,Najafgarh Road Trunk Highway,Street & Public Roadways,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-02-12,18,1,Wednesday,0,0,1,28.618946,77.029854,2,0.293,Low,0,Confirmed
DEL-FIR-2025-100063,North-West,Netaji Subhash Place,Model Town 2 Gujranwala Town,Residential Gated Colony,Motor Vehicle Theft,IPC 379 (BNS 303),2025-06-22,1,20,Sunday,1,1,0,28.698941,77.190214,3,0.708,High,1,Confirmed
DEL-FIR-2025-100064,North-East,Gokulpuri,Khajuri Khas Flyover Junction,Street & Public Roadways,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-01-27,1,34,Monday,0,1,0,28.718428,77.252509,4,0.654,High,1,False Alarm / Dismissed
DEL-FIR-2025-100065,East,Laxmi Nagar,Laxmi Nagar Vikas Marg Market,Commercial & Retail Market,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-01-11,6,53,Saturday,1,0,0,28.631719,77.27635,4,0.69,High,1,Confirmed
DEL-FIR-2025-100066,North-West,Bharat Nagar,Netaji Subhash Place Commercial Hub,Commercial & Retail Market,Assault & Public Brawl,IPC 323/341 (BNS 115/126),2025-07-08,23,49,Tuesday,0,1,0,28.692625,77.149538,3,0.67,High,1,Confirmed
DEL-FIR-2025-100067,Shahdara,Vivek Vihar,Anand Vihar ISBT & Railway Terminal,Transit & Metro Hub,Assault & Public Brawl,IPC 323/341 (BNS 115/126),2025-06-09,21,59,Monday,0,0,0,28.648826,77.317596,3,0.555,Medium,0,Confirmed
DEL-FIR-2025-100068,West,Punjabi Bagh,Tilak Nagar Metro Station,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-02-22,20,15,Saturday,1,0,1,28.633533,77.09448,3,0.628,Medium,0,Confirmed
DEL-FIR-2025-100069,East,Laxmi Nagar,Kalyanpuri Bus Terminal Environs,Transit & Metro Hub,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-09-30,20,22,Tuesday,0,0,1,28.620028,77.31603,4,0.775,High,1,Confirmed
DEL-FIR-2025-100070,Rohini,Rohini Sector 18,Rohini Sector 3 Japanese Park Perimeter,Parks & Isolated Environs,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-07-05,3,27,Saturday,1,1,0,28.71923,77.120446,2,0.703,High,1,Confirmed
DEL-FIR-2025-100071,Shahdara,Krishna Nagar,Gandhi Nagar Textile Wholesale Market,Commercial & Retail Market,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-11-12,22,17,Wednesday,0,1,0,28.662216,77.267411,3,0.69,High,1,Pending Investigation
DEL-FIR-2025-100072,North-West,Ashok Vihar,Ashok Vihar Deep Market,Commercial & Retail Market,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-05-06,22,54,Tuesday,0,1,0,28.685596,77.174263,4,0.708,High,1,Pending Investigation
DEL-FIR-2025-100073,Outer-North,Bawana,GT Karnal Road Singhu Border Stretch,Street & Public Roadways,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-06-22,1,24,Sunday,1,1,0,28.878176,77.130985,4,0.652,High,1,Confirmed
DEL-FIR-2025-100074,North,Civil Lines,Civil Lines Rajpur Road,Residential Gated Colony,Motor Vehicle Theft,IPC 379 (BNS 303),2025-11-02,0,56,Sunday,1,1,0,28.678843,77.213969,3,0.641,Medium,0,Confirmed
DEL-FIR-2025-100075,New Delhi,Chanakyapuri,Barakhamba Road ATM Cluster,Bank & ATM Premises,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-05-04,15,35,Sunday,1,0,0,28.632811,77.224225,3,0.461,Medium,0,Confirmed
DEL-FIR-2025-100076,North-West,Netaji Subhash Place,Ashok Vihar Deep Market,Commercial & Retail Market,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-06-06,22,15,Friday,0,1,0,28.685775,77.177114,3,0.616,Medium,0,Confirmed
DEL-FIR-2025-100077,Rohini,South Rohini,Begumpur Main Chowk,Street & Public Roadways,Motor Vehicle Theft,IPC 379 (BNS 303),2025-12-26,10,22,Friday,0,0,1,28.729505,77.078106,3,0.382,Low,0,Confirmed
DEL-FIR-2025-100078,South,Saket,Hauz Khas Village Social Hub,Commercial & Retail Market,Motor Vehicle Theft,IPC 379 (BNS 303),2025-04-09,22,11,Wednesday,0,1,0,28.558118,77.195865,3,0.551,Medium,0,Confirmed
DEL-FIR-2025-100079,Shahdara,Farsh Bazar,Shahdara Railway Station Chauraha,Transit & Metro Hub,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-04-27,6,18,Sunday,1,0,0,28.674373,77.288676,4,0.725,High,1,Confirmed
DEL-FIR-2025-100080,Shahdara,Vivek Vihar,Shahdara Railway Station Chauraha,Transit & Metro Hub,Motor Vehicle Theft,IPC 379 (BNS 303),2025-12-24,17,18,Wednesday,0,0,1,28.672415,77.289771,3,0.528,Medium,0,Unconfirmed / Unverified Tip
DEL-FIR-2025-100081,North-East,Seelampur,Khajuri Khas Flyover Junction,Street & Public Roadways,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-08-14,16,30,Thursday,0,0,0,28.719732,77.252599,2,0.318,Low,0,Confirmed
DEL-FIR-2025-100082,South-East,Lajpat Nagar,Kalkaji Mandir Metro Hub,Transit & Metro Hub,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-11-19,20,36,Wednesday,0,0,1,28.547892,77.256476,4,0.671,High,1,Confirmed
DEL-FIR-2025-100083,North-East,Gokulpuri,Jafrabad Main Road,Street & Public Roadways,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-08-02,21,48,Saturday,1,0,0,28.682709,77.266793,3,0.561,Medium,0,Confirmed
DEL-FIR-2025-100084,South,Mehrauli,Hauz Khas Metro Station Interchange,Transit & Metro Hub,Motor Vehicle Theft,IPC 379 (BNS 303),2025-08-08,4,37,Friday,0,1,0,28.547952,77.208409,3,0.577,Medium,0,Confirmed
DEL-FIR-2025-100085,Dwarka,Dwarka Sector 23,Dwarka Sector 10 District Court & Market,Commercial & Retail Market,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-05-03,1,10,Saturday,1,1,0,28.579767,77.061225,4,0.797,High,1,Confirmed
DEL-FIR-2025-100086,New Delhi,Mandir Marg,Chanakyapuri Diplomatic Enclave,Residential Gated Colony,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-05-28,1,14,Wednesday,0,1,0,28.596242,77.19283,4,0.599,Medium,0,Confirmed
DEL-FIR-2025-100087,North-West,Model Town,Netaji Subhash Place Commercial Hub,Commercial & Retail Market,Pickpocketing & Luggage Theft,IPC 379 (BNS 303),2025-12-05,20,37,Friday,0,0,1,28.692372,77.145019,2,0.371,Low,0,Pending Investigation
DEL-FIR-2025-100088,Central,Paharganj,New Delhi Railway Station Gate 2,Transit & Metro Hub,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-01-31,4,4,Friday,0,1,0,28.641584,77.218945,4,0.814,High,1,Confirmed
DEL-FIR-2025-100089,Shahdara,Gandhi Nagar,Shahdara Railway Station Chauraha,Transit & Metro Hub,Motor Vehicle Theft,IPC 379 (BNS 303),2025-07-26,0,44,Saturday,1,1,0,28.67114,77.28912,3,0.759,High,1,Unconfirmed / Unverified Tip
DEL-FIR-2025-100090,North-West,Netaji Subhash Place,Ashok Vihar Deep Market,Commercial & Retail Market,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-11-06,23,20,Thursday,0,1,0,28.692484,77.170533,4,0.791,High,1,Confirmed
DEL-FIR-2025-100091,East,Pandav Nagar,Kalyanpuri Bus Terminal Environs,Transit & Metro Hub,Assault & Public Brawl,IPC 323/341 (BNS 115/126),2025-05-18,21,52,Sunday,1,0,0,28.61902,77.313037,3,0.626,Medium,0,Confirmed
DEL-FIR-2025-100092,North,Maurice Nagar,Civil Lines Rajpur Road,Residential Gated Colony,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-08-12,5,37,Tuesday,0,1,0,28.676115,77.219639,4,0.648,Medium,0,Confirmed
DEL-FIR-2025-100093,Central,Daryaganj,Chandni Chowk Main Street,Commercial & Retail Market,Motor Vehicle Theft,IPC 379 (BNS 303),2025-03-24,22,54,Monday,0,1,0,28.655429,77.230227,3,0.686,High,1,Confirmed
DEL-FIR-2025-100094,South-East,Okhla,Kalkaji Mandir Metro Hub,Transit & Metro Hub,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-03-01,19,20,Saturday,1,0,1,28.552701,77.255112,3,0.709,High,1,False Alarm / Dismissed
DEL-FIR-2025-100095,Rohini,Kanjhawala,Rohini Sector 18 Metro & DDA Market,Transit & Metro Hub,Motor Vehicle Theft,IPC 379 (BNS 303),2025-11-15,2,23,Saturday,1,1,0,28.737096,77.131696,3,0.782,High,1,Confirmed
DEL-FIR-2025-100096,North-East,Bhajanpura,Seelampur Metro & Market Chowk,Transit & Metro Hub,Motor Vehicle Theft,IPC 379 (BNS 303),2025-12-24,0,28,Wednesday,0,1,0,,,3,0.642,Medium,0,Confirmed
DEL-FIR-2025-100097,East,Preet Vihar,Kalyanpuri Bus Terminal Environs,Transit & Metro Hub,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-07-28,20,35,Monday,0,0,1,28.618014,77.313821,4,0.625,Medium,0,Confirmed
DEL-FIR-2025-100098,Outer-North,Alipur,Bawana Industrial Estate Sector 3,Industrial & Warehouse Estates,Assault & Public Brawl,IPC 323/341 (BNS 115/126),2025-05-30,22,31,Friday,0,1,0,28.798588,77.040859,3,0.68,High,1,Confirmed
DEL-FIR-2025-100099,Outer,Paschim Vihar,Paschim Vihar Jwala Heri Market,Commercial & Retail Market,Snatching (Chain/Mobile),IPC 379/356 (BNS 304),2025-11-03,20,12,Monday,0,0,1,28.67386,77.110276,3,0.534,Medium,0,Confirmed
DEL-FIR-2025-100100,Outer,Nangloi,Mangolpuri Industrial Area Phase 1,Industrial & Warehouse Estates,Street Robbery / Mugging,IPC 392/394 (BNS 309),2025-09-17,10,59,Wednesday,0,0,1,,,4,0.55,Medium,0,Confirmed
DEL-FIR-2025-100101,Shahdara,Farsh Bazar,Krishna Nagar Lal Quarter Market,Commercial & Retail Market,Burglary & House Breaking,IPC 380/457 (BNS 305/331),2025-10-03,4,28,Friday,0,1,0,28.660315,77.283955,4,0.738,High,1,Confirmed
DEL-FIR-2025-100102,North-East,Khajuri Khas,Jafrabad Main Road,Street & Public Roadways,Motor Vehicle Theft,IPC 379 (BNS 303),2025-05-03,23,44,Saturday,1,1,0,28.684236,77.267965,3,0.692,High,1,Confirmed
DEL-FIR-2025-100103,North-East,Seelampur,Khajuri Khas Flyover Junction,Street & Public Roadways,Motor Vehicle Theft,IPC 379 (BNS 303),2025-07-17,4,24,Thursday,0,1,0,28.717596,77.254565,3,0.62,Medium,0,False Alarm / Dismissed
DEL-FIR-2025-100104,East,Kalyanpuri,Preet Vihar Commercial Complex,Commercial & Retail Market,Assault & Public Brawl,IPC 323/341 (BNS 115/126),2025-02-21,23,55,Friday,0,1,0,28.643568,77.297531,3,0.718,High,1,Pending Investigation
